"","year","month","week","yday","date","depth","dist","latdd","londd","numPkm2","Lon.km","Lat.km","year_f","scale_depth","scale_dist2shore","rownum"
"66",1999,"June",24,170,1999-06-19,457.2,55.56,46.13568878,-124.687088,0.604468869,369.685286652872,5110.50708192897,"1999",2.9047638050953,1.64201066684607,66
"67",1999,"June",25,171,1999-06-20,23.7744,7.408,46.18603516,-124.0820236,0,416.497843007445,5115.28659422826,"1999",-0.768442731617949,-1.17407004857324,67
"68",1999,"June",25,171,1999-06-20,56.6928,12.964,46.1598587,-124.1528168,0,410.992380066798,5112.45503857938,"1999",-0.489465019968841,-0.849137658332551,68
"69",1999,"June",25,171,1999-06-20,113.3856,27.78,46.14043427,-124.3301392,0,397.265477990909,5110.51081669528,"1999",-0.00900340546204466,0.0173487156426204,69
"70",1999,"June",25,172,1999-06-21,85.9536,9.26,45.45697784,-124.1006851,0.295515889,413.941604948719,5034.3060706743,"1999",-0.241484831836301,-1.06575925182634,70
"71",1999,"June",25,172,1999-06-21,36.576,1.852,45.45521545,-124.0092926,0.40656939,421.084768480635,5034.01649064371,"1999",-0.659951399309963,-1.49900243881393,71
"72",1999,"June",25,172,1999-06-21,58.5216,5.556,45.47140503,-124.0390778,0,418.779160203647,5035.84476247663,"1999",-0.473966258210558,-1.28238084532014,72
"73",1999,"June",25,172,1999-06-21,135.3312,18.52,45.47501755,-124.2026825,0,405.996823404458,5036.42447545833,"1999",0.176981735637361,-0.524205268091862,73
"74",1999,"June",25,172,1999-06-21,175.5648,27.78,45.50585175,-124.3231812,0,396.634943439021,5039.99807778697,"1999",0.517954494319603,0.0173487156426204,74
"75",1999,"June",25,172,1999-06-21,263.3472,37.04,45.49660873,-124.4541931,0,386.381918475167,5039.14818721306,"1999",1.26189505871722,0.558902699377102,75
"76",1999,"June",25,173,1999-06-22,34.7472,1.852,45.47047424,-124.0116272,0,420.923566219382,5035.71397750008,"1999",-0.675450161068247,-1.49900243881393,76
"77",1999,"June",25,173,1999-06-22,45.72,5.556,45.44294739,-124.031189,0,419.355238713652,5032.67528969552,"1999",-0.582457590518544,-1.28238084532014,77
"78",1999,"June",25,173,1999-06-22,32.9184,1.852,45.02365112,-124.0385742,0.302469411,418.178145700928,4986.10236230581,"1999",-0.69094892282653,-1.49900243881393,78
"79",1999,"June",25,173,1999-06-22,91.44,9.26,45.02429199,-124.1385193,0,410.305184193317,4986.27939144359,"1999",-0.19498854656145,-1.06575925182634,79
"80",1999,"June",25,173,1999-06-22,148.1328,18.52,45.01817322,-124.2324219,0,402.897005946647,4985.70796493955,"1999",0.285473067945347,-0.524205268091862,80
